experiment,protocol,reference,features,model,label,metric,value,n,note
X3,LOMO,knn-k10-mean-unif-TT-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.493276,5386,fold-mean; F1=0.414; mae_h=8.1531
X3,LOMO,knn-k10-mean-unif-TT-dmin0.25,residuals,gradient-boosting,__global__,f1,0.414272,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-mean-unif-TT-dmin0.5,residuals,gradient-boosting,__global__,accuracy,0.486599,5386,fold-mean; F1=0.410; mae_h=7.8989
X3,LOMO,knn-k10-mean-unif-TT-dmin0.5,residuals,gradient-boosting,__global__,f1,0.410085,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-mean-unif-TT-dmin1,residuals,gradient-boosting,__global__,accuracy,0.456881,5386,fold-mean; F1=0.384; mae_h=8.5446
X3,LOMO,knn-k10-mean-unif-TT-dmin1,residuals,gradient-boosting,__global__,f1,0.383843,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-mean-unif-TT-dmin2,residuals,gradient-boosting,__global__,accuracy,0.457403,5386,fold-mean; F1=0.371; mae_h=12.0360
X3,LOMO,knn-k10-mean-unif-TT-dmin2,residuals,gradient-boosting,__global__,f1,0.370939,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-mean-unif-TTdew-dmin0,residuals,gradient-boosting,__global__,accuracy,0.531642,5386,fold-mean; F1=0.440; mae_h=5.1014
X3,LOMO,knn-k10-mean-unif-TTdew-dmin0,residuals,gradient-boosting,__global__,f1,0.439754,5386,macro; mean of two LOMO folds
